GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench.entity,TestDataSet,0,29,0,0,0,10,0,2,0,2
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench.entity,Template,0,52,0,2,0,15,0,5,0,4
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench.entity,ValidationResult.ValidationMessage,0,9,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench.entity,TemplateStatus,0,27,0,0,0,5,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench.entity,TemplateType,0,15,0,0,0,3,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench.entity,ValidationResult,0,21,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.IgnoreBlockRequest,9,0,0,0,1,0,1,0,1,0
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,SearchResource.SearchHit,0,21,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,WebDavResource,529,0,32,0,122,0,37,0,21,0
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.TemplateSummary,0,24,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.IgnoredPatternsRequest,6,0,0,0,1,0,1,0,1,0
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.TemplateDetails,0,27,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.CreateTestDataSetRequest,0,9,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,RenderImportClient.ImportRequest,18,0,0,0,1,0,1,0,1,0
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,SearchResource.SearchResult,0,9,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.StatusUpdateRequest,0,6,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource.DuplicateRequest,0,6,0,0,0,1,0,1,0,1
Blocpress E2E Coverage/blocpress-workbench,io.github.flaechsig.blocpress.workbench,TemplateResource,1189,957,157,79,236,218,104,52,15,22
